,id,question,option_a,option_b,option_c,option_d,correct_option
0,OIC-005-01-A,Quelle est la principale forme de dommage que peut subir un patient en cas de faute médicale?,Atteinte à l'intégrité physique ou psychique,Perte de chance de survie ou de guérison,Perte de chance d'avoir échappé à un risque,Indemnisation par l'assurance,a
1,OIC-005-01-A-,Quel est l'élément le plus difficile à prouver pour établir la responsabilité d'un professionnel de santé?,Le dommage,Le fait générateur de responsabilité,Le lien de causalité entre le fait générateur et le dommage,L'indemnisation,c
2,OIC-005-02-A,Quelle est la principale fonction de la responsabilité pénale envers les médecins?,Sanctionner les erreurs médicales,Indemniser les patients,Réprimer les comportements répréhensibles,Gérer les plaintes des patients,c
3,OIC-005-02-A-,Quelle infraction est souvent liée à la violation du secret professionnel par un médecin?,Homicide involontaire,Blessure volontaire,Révélation de données médicales,Non-assistance à personne en péril,c
4,OIC-005-03-A,Quelle est la juridiction devant laquelle les professionnels exerçant à titre libéral engagent leur responsabilité civile?,Tribunal administratif,Cour d'appel,Tribunal de grande instance,Cour de cassation,c
5,OIC-005-03-A-,Quel régime de responsabilité s'applique aux médecins salariés d'établissements privés qui n'outrepassent pas la mission confiée par leur employeur?,Responsabilité civile personnelle,Responsabilité du commettant,Responsabilité pénale,Responsabilité administrative,b
6,OIC-005-04-A,Quelle est la responsabilité engagée devant les juridictions administratives pour les actes réalisés par les médecins hospitaliers?,Responsabilité civile,Responsabilité pénale,Responsabilité administrative,Responsabilité disciplinaire,c
7,OIC-005-04-A-,Quelle est la faute qui engage la responsabilité civile personnelle du médecin?,Faute de service,Faute dans l'organisation et le fonctionnement du service,Faute personnelle ou détachable du service,Faute de négligence,c
8,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute dans le contexte médical?,La responsabilité est engagée uniquement en cas de faute prouvée.,"La responsabilité est engagée même en l'absence de faute, si un dommage est lié au soin.",La responsabilité est engagée uniquement si l'infection est contractée à l'extérieur de l'hôpital.,La responsabilité est engagée uniquement si le patient a donné son consentement éclairé.,b
9,OIC-005-06-A-,Dans quel cas la responsabilité sans faute peut-elle être engagée?,En cas de faute professionnelle prouvée.,"En cas d'infection nosocomiale, même sans faute.",En cas de consentement éclairé du patient.,En cas de dommage lié à un acte chirurgical.,b
10,OIC-005-08-A,Quelle est la définition d'une erreur par omission?,Une action mal réalisée,Une action qui n'a pas été faite,Une action qui a été faite mais qui n'était pas utile,Un non-respect d'une recommandation ou d'une règle professionnelle,b
11,OIC-005-08-A-,Quelle est la définition d'une erreur d'exécution?,Une action qui n'a pas été faite,Une action qui a été faite mais qui n'était pas utile,Une action mal réalisée,Un non-respect d'une recommandation ou d'une règle professionnelle,c
12,OIC-005-09-A,Quelle est la définition de l'accident médical?,"Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal au regard de l'évolution prévisible de l'état de santé.",Un effet secondaire attendu d'un traitement médical.,Une maladie contractée dans un établissement de santé.,Une erreur de diagnostic par un professionnel de santé.,a
13,OIC-005-09-A-,Quelle est la différence entre un accident médical et une affection iatrogène?,"Un accident médical est causé par une erreur d'un professionnel de santé, tandis qu'une affection iatrogène peut survenir même si le traitement est conforme aux bonnes pratiques.","Un accident médical est toujours causé par un professionnel de santé, tandis qu'une affection iatrogène peut survenir par mauvais usage du médicament par le patient.","Un accident médical est un effet secondaire attendu d'un traitement médical, tandis qu'une affection iatrogène est un événement indésirable survenu au cours d'un acte de soin.",Un accident médical est une conséquence de la prise d'un médicament même si l'indication était correcte et la posologie bonne.,a
14,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale?,Infection contractée à l'extérieur de l'hôpital,Infection contractée au cours d'un séjour dans un établissement de santé,Infection contractée par un patient avant son admission à l'hôpital,Infection contractée par un patient après son départ de l'hôpital,b
15,OIC-005-10-A-,Quel est le délai après l'admission pour considérer une infection comme nosocomiale?,24 heures,48 heures,72 heures,1 semaine,b
16,OIC-005-11-A,Quelle est la définition de l'aléa thérapeutique?,Un événement indésirable causé par une action de soins non conforme,Un accident médical survenu sans faute des professionnels de santé,Un effet secondaire d'un médicament prescrit et administré correctement,Une infection nosocomiale due à une faute des professionnels de santé,b
17,OIC-005-11-A-,Quel est un exemple d'aléa thérapeutique?,Une erreur de prescription médicale,La survenue d'un effet secondaire d'un médicament correctement prescrit et administré,Une infection nosocomiale due à une faute des professionnels de santé,Un accident médical causé par une action de soins non conforme,b
18,OIC-005-12-B,Quel est le principal facteur lié au patient qui peut conduire à l'ouverture d'un contentieux à la suite d'un accident médical?,État de santé du patient,Gravité des maladies associées,Difficultés de communication,Vulnérabilité de certaines populations de patients,c
