,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-01-A,Laquelle des définitions suivantes décrit le mieux la notion de responsabilité sanction/indemnisation en médecine?,Cette question évalue la compréhension de la définition de la responsabilité sanction/indemnisation en médecine.,La responsabilité pénale qui peut entraîner des sanctions disciplinaires et/ou des peines de prison.,"Cette option décrit la responsabilité pénale, pas la responsabilité sanction/indemnisation.",La responsabilité civile qui vise à réparer le préjudice subi par la victime d'un acte médical fautif.,"Cette option décrit la responsabilité civile, un aspect de la responsabilité sanction/indemnisation.",La responsabilité administrative qui peut entraîner des sanctions disciplinaires et/ou des amendes pour les établissements de santé.,"Cette option décrit la responsabilité administrative, un aspect de la responsabilité sanction/indemnisation.",La responsabilité qui peut englober à la fois la sanction du professionnel ou de l'établissement et l'indemnisation de la victime.,Cette option correspond à la définition de la responsabilité sanction/indemnisation.,d
1,OIC-005-02-A,Laquelle des définitions suivantes décrit le mieux la responsabilité pénale?,Cette question évalue la compréhension de la définition de la responsabilité pénale.,Un mécanisme de réparation du préjudice subi par une victime.,"Cette option décrit la responsabilité civile, non la responsabilité pénale.",Un système de sanctions visant à réprimer les comportements considérés comme répréhensibles par la société.,Cette option correspond à la définition de la responsabilité pénale.,Un processus d'évaluation des compétences et des connaissances d'un professionnel de santé.,"Cette option décrit la responsabilité disciplinaire, non la responsabilité pénale.",Un mécanisme d'attribution de responsabilités administratives suite à une erreur médicale.,"Cette option décrit la responsabilité administrative, non la responsabilité pénale.",b
2,OIC-005-03-A,Quelle est la définition de la responsabilité civile dans le contexte médical?,Cette question évalue la compréhension de la définition de la responsabilité civile en médecine.,La responsabilité pénale encourue par un professionnel de santé en cas d'erreur médicale.,"Incorrecte. La responsabilité pénale est une sanction pénale, pas civile.",L'obligation pour un professionnel de santé de réparer les dommages causés à un patient par une faute professionnelle.,Correcte. La responsabilité civile implique une réparation des dommages causés.,La responsabilité disciplinaire qui peut entraîner une sanction professionnelle.,Incorrecte. La responsabilité disciplinaire est une sanction interne à l'ordre professionnel.,La responsabilité administrative qui peut entraîner des sanctions financières pour un établissement de santé.,Incorrecte. La responsabilité administrative est une sanction de l'État.,b
3,OIC-005-04-A,Laquelle des affirmations suivantes définit la responsabilité administrative d'un médecin hospitalier?,Cette question évalue la compréhension de la définition de la responsabilité administrative dans le contexte médical.,"La responsabilité personnelle du médecin pour les dommages causés à un patient, indépendamment de son statut d'agent public.","Cette option décrit la responsabilité civile personnelle, pas administrative.","La responsabilité de l'établissement public de santé pour les dommages causés par les actes des médecins hospitaliers, engagée devant les juridictions administratives.",Cette option correspond à la définition de la responsabilité administrative.,"La responsabilité pénale du médecin pour les actes commis intentionnellement ou par négligence grave, pouvant entraîner des sanctions disciplinaires.","Cette option décrit la responsabilité pénale, pas administrative.","La responsabilité disciplinaire du médecin, qui peut entraîner des sanctions internes par l'établissement de santé.","Cette option décrit la responsabilité disciplinaire, pas administrative.",b
4,OIC-005-05-A,Laquelle des définitions suivantes décrit la responsabilité disciplinaire?,Cette question évalue la compréhension de la définition de la responsabilité disciplinaire en médecine.,La responsabilité encourue devant les tribunaux pour un acte illicite.,"Cette option décrit la responsabilité pénale, pas la responsabilité disciplinaire.",La responsabilité qui oblige à réparer un préjudice causé à un tiers.,"Cette option décrit la responsabilité civile, pas la responsabilité disciplinaire.",La responsabilité qui peut entraîner des sanctions administratives pour manquement à des règles.,"Cette option décrit la responsabilité administrative, pas la responsabilité disciplinaire.",La responsabilité encourue devant les instances de l’Ordre des médecins pour un manquement aux règles de déontologie médicale.,Cette option correspond à la définition de la responsabilité disciplinaire.,d
5,OIC-005-06-A,"Dans le contexte médical, la responsabilité sans faute se caractérise par :",Cette question évalue la compréhension de la définition de la responsabilité sans faute en médecine.,L'existence d'une faute professionnelle prouvée.,Incorrecte. La responsabilité sans faute implique l'absence de faute prouvée.,La survenue d'un dommage lié aux soins sans manquement aux règles professionnelles ou scientifiques.,Correcte. C'est la définition précise de la responsabilité sans faute.,La présence d'une erreur médicale avérée.,Incorrecte. La responsabilité sans faute exclut la présence d'une erreur médicale.,Le manquement à une obligation de sécurité envers le patient.,"Incorrecte. La responsabilité sans faute ne repose pas sur un manquement à une obligation de sécurité, mais sur la survenue d'un dommage malgré l'absence de faute.",b
6,OIC-005-07-A,"Selon la loi du 4 mars 2002, en quoi consiste la faute médicale?",Cette question évalue la compréhension de la définition de la faute médicale dans le contexte de la responsabilité médicale.,Une violation des connaissances médicales avérées ou des données acquises de la science.,Cette option correspond à la définition de la faute technique.,Un défaut d'information ne permettant pas un consentement libre et éclairé.,Cette option correspond à une violation du devoir d'humanisme.,Le défaut d'un produit de santé considéré comme défectueux.,Cette option correspond à un autre type de faute pouvant entraîner une responsabilité médicale.,L'absence de preuve d'atteinte à un droit du patient.,"Cette option est incorrecte, la faute doit être prouvée pour qu'il y ait responsabilité médicale.",a
7,OIC-005-09-A,Quelle est la définition d'un accident médical ?,Cette question évalue la compréhension de la définition d'un accident médical.,Un effet secondaire indésirable d'un traitement médical.,"C'est la définition d'une affection iatrogène, pas d'un accident médical.","Un événement indésirable survenu au cours d'un acte de soin, de prévention ou de diagnostic qui entraîne un dommage anormal.",C'est la définition correcte d'un accident médical.,Une erreur de diagnostic ou de traitement commise par un professionnel de santé.,"Ceci décrit une erreur médicale, pas nécessairement un accident médical. Un accident médical peut survenir même sans erreur.",Une infection contractée dans un établissement de santé.,"Ceci décrit une infection nosocomiale, pas un accident médical.",b
8,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale ?,Cette question évalue la définition d'une infection nosocomiale.,Une infection contractée avant l'admission à un établissement de santé.,Incorrecte. Les infections nosocomiales sont contractées pendant un séjour en établissement de santé.,"Une infection apparue après 48 heures d'hospitalisation, absente à l'admission.",Correcte. C'est la définition d'une infection nosocomiale.,Une infection contractée lors d'une consultation externe.,Incorrecte. Les infections nosocomiales sont liées à un séjour en établissement de santé.,Une infection contractée par un personnel de santé dans un établissement de santé.,"Incorrecte.  L'infection nosocomiale concerne les patients, pas nécessairement le personnel.",b
9,OIC-005-11-A,Définition de l'aléa thérapeutique :,Cette question évalue la compréhension de la définition de l'aléa thérapeutique.,Un événement indésirable dû à une erreur médicale.,Incorrecte : L'aléa thérapeutique se distingue des erreurs par son inévitabilité.,Un risque inhérent à l'acte médical qui peut être maîtrisé par le praticien.,Incorrecte : L'aléa thérapeutique est un risque qui ne pouvait être maîtrisé.,Un événement indésirable survenu malgré une action de soins conforme et sans faute.,Correcte : L'aléa thérapeutique est un événement indésirable lié à un risque inhérent à l'action de soins.,Une infection apparue après une hospitalisation et absente à l'admission.,"Incorrecte :  L'infection nosocomiale est un type d'aléa thérapeutique, mais pas la définition complète.",c
10,OIC-005-12-B,"Selon les informations fournies, quel est le facteur qui peut contribuer à l'ouverture d'un contentieux à la suite d'un accident médical et qui est lié à la vulnérabilité de certains patients?","Cette question évalue la compréhension des facteurs conduisant à un contentieux médical, en se concentrant sur la vulnérabilité des patients.",L'état de santé du patient et la gravité des maladies associées,Cette option est correcte car la vulnérabilité de certains patients est liée à leur état de santé et aux maladies qu'ils peuvent avoir.,La communication au sein de l'équipe soignante,"Bien que la communication soit importante, elle n'est pas spécifiquement liée à la vulnérabilité des patients.",La disponibilité de ressources humaines qualifiées,"La disponibilité des ressources humaines est importante pour la qualité des soins, mais n'est pas directement liée à la vulnérabilité des patients.",L'organisation du travail et les horaires,"L'organisation du travail et les horaires peuvent influencer la qualité des soins, mais ne sont pas spécifiquement liés à la vulnérabilité des patients.",a
11,OIC-005-13-A,"Selon le texte fourni, quel facteur humain individuel peut contribuer à l'erreur médicale?",Cette question évalue la compréhension des facteurs humains individuels qui peuvent mener à des erreurs médicales.,Le manque de communication entre les membres d'une équipe médicale,"Ceci est un facteur humain collectif, pas individuel.","Le stress, le manque de temps ou la fatigue",Correct. Ces facteurs peuvent affecter la performance individuelle.,Une mauvaise organisation de l'équipe médicale,Ceci est un facteur humain collectif.,Le manque de connaissances ou d'expérience du patient,"Ceci est un facteur lié au patient, pas un facteur humain individuel du professionnel de santé.",b
12,OIC-005-14-B,"Selon le modèle de Reason, quelles sont les trois catégories de barrières de sécurité?",Cette question évalue la compréhension des différents types de barrières de sécurité dans le contexte de la prévention des erreurs médicales.,"Barrières de prévention, barrières de récupération et barrières d'atténuation",Cette option est correcte. Le modèle de Reason identifie ces trois catégories de barrières.,"Barrières physiques, barrières logistiques et barrières humaines","Cette option est incorrecte. Le modèle de Reason se concentre sur les types de barrières, pas sur leur nature.","Barrières actives, barrières passives et barrières de sécurité renforcées",Cette option est incorrecte. Ces termes ne sont pas utilisés dans le modèle de Reason.,"Barrières de formation, barrières de communication et barrières de supervision","Cette option est incorrecte.  Bien que ces éléments puissent contribuer à la sécurité, ce ne sont pas les catégories principales définies par le modèle de Reason.",a
13,OIC-005-15-B,Laquelle des affirmations suivantes décrit le mieux la démarche de culture positive de l'erreur en contexte hospitalier?,Cette question évalue la compréhension de la démarche de culture positive de l'erreur dans le contexte hospitalier.,Une approche punitive visant à identifier et sanctionner les professionnels de santé responsables des erreurs.,"Incorrecte. La culture positive de l'erreur ne vise pas la punition, mais l'apprentissage et l'amélioration.",Une méthode d'analyse des erreurs qui se concentre uniquement sur les facteurs humains et néglige les facteurs systémiques.,Incorrecte. La culture positive de l'erreur prend en compte les facteurs humains et systémiques.,"Une démarche qui encourage le signalement des erreurs sans crainte de sanction, afin d'en analyser les causes et prévenir leur répétition.",Correcte. La culture positive de l'erreur favorise le signalement ouvert et honnête des erreurs.,Une stratégie de communication visant à cacher les erreurs aux patients et à leurs familles pour préserver l'image de l'établissement.,Incorrecte. La culture positive de l'erreur implique la transparence et la communication.,c
14,OIC-006-01-A,Quelle est la définition du travail en équipe pluriprofessionnelle ?,Cette question évalue la compréhension de la définition du travail en équipe pluriprofessionnelle.,Un groupe de professionnels de santé travaillant ensemble dans un même lieu.,"Trop restrictif, ne mentionne pas la complémentarité des qualifications.",Un ensemble de professionnels ayant des qualifications différentes et complémentaires qui travaillent ensemble pour un même objectif.,Définition correcte du travail en équipe pluriprofessionnelle.,Une collaboration entre professionnels de santé pour améliorer la qualité de la prise en charge du patient.,"Mentionne un objectif du travail en équipe, mais ne définit pas clairement le concept.",Une structure organisationnelle où les professionnels de santé sont regroupés par spécialité.,Ne correspond pas à la définition du travail en équipe pluriprofessionnelle.,b
