,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-005-01-A,La responsabilité d'un professionnel ou d'un établissement de santé peut être recherchée à quelles deux fins principales?,La question évalue la compréhension de la distinction fondamentale entre les deux objectifs principaux de la responsabilité en matière de santé : sanctionner le fautif et indemniser la victime.,Sanction du professionnel/établissement et indemnisation de l'usager victime,"Cette option reprend directement la définition donnée dans le texte source, qui précise que la responsabilité peut être recherchée soit pour sanctionner, soit pour indemniser.",Indemnisation de l'usager victime et réparation du préjudice subi par le professionnel,"Cette option est incorrecte car elle mentionne la réparation du préjudice subi par le professionnel, ce qui n'est pas une des deux fins principales de la responsabilité recherchée par l'usager. La sanction du professionnel est l'une des deux fins.",Sanction pénale du professionnel et indemnisation par l'assurance maladie,"Cette option est incorrecte. Bien que la sanction pénale soit une forme de sanction, la responsabilité peut aussi être disciplinaire ou administrative. De plus, l'indemnisation est versée par l'assurance responsabilité civile professionnelle du professionnel/établissement ou par l'employeur, pas directement par l'assurance maladie.",Indemnisation de l'usager victime et sanction administrative de l'établissement,"Cette option est incorrecte car elle ne mentionne pas la sanction du professionnel, qui est l'une des deux fins principales. Elle se concentre uniquement sur l'indemnisation et une forme spécifique de sanction (administrative de l'établissement).",a
1,OIC-005-02-A,"Quelle est la définition de la responsabilité pénale, selon le texte fourni?","La question évalue la compréhension de la définition de la responsabilité pénale, un objectif de Rang A.","Une fonction répressive visant à sanctionner des comportements répréhensibles par la société, pouvant concerner des individus et des personnes morales.","Cette définition correspond à la description donnée dans le texte, soulignant la fonction répressive, la sanction, la nature répréhensible du comportement et l'application aux personnes physiques et morales.","Une obligation d'indemniser une victime pour un dommage subi, souvent liée à une faute.","Cette définition correspond à la responsabilité civile, pas pénale.",Une sanction administrative imposée par l'administration publique pour non-respect de règles spécifiques.,"Cette définition correspond à la responsabilité administrative, pas pénale.",Une sanction disciplinaire infligée par un ordre professionnel pour manquement aux règles déontologiques.,"Cette définition correspond à la responsabilité disciplinaire, pas pénale.",a
2,OIC-005-03-A,Quelle est la juridiction compétente pour juger des actions en responsabilité civile engagées contre les professionnels exerçant à titre libéral et les établissements de santé privés?,"La question évalue la connaissance de la définition de la responsabilité civile et des juridictions compétentes pour la traiter, spécifiquement pour les professionnels libéraux et les établissements privés.","Tribunal de grande instance, cour d’appel, cour de cassation","Correct. Ce sont les juridictions de l'ordre judiciaire compétentes pour les affaires relevant de la responsabilité civile, y compris celles des professionnels libéraux et des établissements privés.",Conseil d'État et tribunaux administratifs,"Incorrect. Ces juridictions sont compétentes pour les litiges relevant de la responsabilité administrative, notamment concernant les établissements publics de santé ou les agents de l'État.",Conseil national de l'ordre des médecins et commissions de conciliation,"Incorrect. Ces instances interviennent dans le cadre de la responsabilité disciplinaire ou de la conciliation amiable, mais ne sont pas les juridictions compétentes pour trancher une action en responsabilité civile.",Tribunal correctionnel et cours d'assises,"Incorrect. Ces juridictions sont compétentes pour juger les infractions pénales, relevant de la responsabilité pénale, et non de la responsabilité civile.",a
3,OIC-005-04-A,"Quelle est la principale caractéristique de la responsabilité administrative dans le contexte hospitalier, selon le texte fourni?","La question évalue la compréhension de la définition et du fonctionnement de la responsabilité administrative dans le secteur public hospitalier, en particulier la relation juridique entre le patient, le médecin et l'établissement.","La responsabilité incombe à l'établissement public de santé, car il n'y a pas de lien juridique direct entre le patient et le médecin hospitalier.",Cette proposition résume correctement le principe clé de la responsabilité administrative en milieu hospitalier : l'établissement public est responsable des actes de ses agents (médecins) envers les patients.,"La responsabilité incombe directement au médecin hospitalier, en tant qu'agent du service public.","Cette proposition est incorrecte. Bien que le médecin puisse être responsable civilement ou disciplinairement, la responsabilité administrative principale incombe à l'établissement.","La responsabilité incombe au patient, s'il a contribué à son propre dommage.","Cette proposition est incorrecte. La responsabilité administrative concerne la faute de l'établissement ou de ses agents envers le patient, pas la responsabilité du patient.","La responsabilité incombe à l'État, quel que soit l'établissement public de santé concerné.","Cette proposition est incorrecte. La responsabilité incombe spécifiquement à l'établissement public de santé concerné, et non directement à l'État, bien que l'établissement soit un établissement public.",a
4,OIC-005-06-A,Quelle est la définition de la responsabilité sans faute en médecine?,"La question évalue la compréhension de la définition de la responsabilité sans faute, un concept clé dans le domaine des responsabilités médicales.","Une responsabilité engagée malgré l'absence de faute, d'erreur ou de manquement aux règles professionnelles.",Cette définition correspond exactement à la description donnée dans le contenu source pour la responsabilité sans faute.,Une responsabilité qui ne peut être engagée que si une faute professionnelle a été commise.,"Cette définition décrit la responsabilité avec faute, l'opposé de la responsabilité sans faute.",Une responsabilité limitée aux seuls cas d'infections nosocomiales.,"Bien que l'infection nosocomiale soit un exemple de situation pouvant relever de la responsabilité sans faute, cette définition est trop restrictive et incorrecte. La responsabilité sans faute peut s'appliquer à d'autres situations.",Une responsabilité disciplinaire encourue par un professionnel de santé pour une faute professionnelle.,"Cette définition correspond à la responsabilité disciplinaire, distincte de la responsabilité civile ou administrative, et ne correspond pas à la définition de la responsabilité sans faute.",a
5,OIC-005-07-A,"Selon le Code de la santé publique, les professionnels et établissements de santé ne sont responsables des conséquences dommageables d’actes de prévention, de prévention ou de soins qu’en cas de :","La question évalue la compréhension de la condition de responsabilité des professionnels de santé en France, spécifiquement la nécessité de prouver une faute, conformément à l'article L.1142-1 du Code de la santé publique.",Faute,Correct. L'article L.1142-1 du Code de la santé publique stipule que la responsabilité n'est engagée qu'en cas de faute.,Erreur,"Incorrect. Bien qu'une erreur puisse constituer une faute, la loi exige spécifiquement la preuve d'une faute, pas seulement d'une erreur. L'erreur médicale est un concept plus large qui peut inclure l'aléa thérapeutique ou l'absence de faute.",Aléa thérapeutique,"Incorrect. L'aléa thérapeutique est un risque inhérent à tout acte médical, même réalisé correctement, et n'engage pas la responsabilité du professionnel de santé.",Accident médical,"Incorrect. Un accident médical est un événement indésirable survenu pendant un acte médical. Il peut être dû à une faute, mais aussi à l'aléa thérapeutique ou à une affection préexistante. La loi exige la preuve d'une faute pour engager la responsabilité.",a
6,OIC-005-08-A,Quelle est la définition de l'erreur médicale selon le texte fourni?,"La question évalue la compréhension de la définition de l'erreur médicale, en se basant sur le texte source fourni.",Une action involontaire et évitable qui peut ou non entraîner un dommage pour le patient.,"Cette définition correspond à la description donnée dans le texte : 'Elles sont involontaires et évitables. On parle d’événement indésirable grave (EIG) lorsque le dommage est un décès, ou une complication grave ou, au minimum, une prolongation d’hospitalisation d’un jour.' Bien que l'EIG soit mentionné, la définition de base de l'erreur médicale inclut l'aspect involontaire, évitable et la possibilité d'un dommage.","Un événement indésirable grave (EIG) entraînant un décès, une complication grave ou une prolongation d'hospitalisation d'au moins un jour.","Cette option décrit un EIG, qui est une conséquence potentielle d'une erreur médicale, mais pas la définition de l'erreur médicale elle-même. Une erreur peut ne pas être un EIG.","Une action non conforme à une recommandation ou une règle professionnelle, pouvant être routinière, issue d'une priorisation personnelle ou induite par le contexte.","Cette option décrit une violation (ou non-conformité), qui est un type d'erreur, mais pas la définition générale de l'erreur médicale.","Une action nécessaire qui n'a pas été faite (omission), une action inutile qui a été faite (commission), ou une action mal réalisée (exécution).","Cette option décrit les différents types d'erreurs (omission, commission, exécution), mais pas la définition globale de l'erreur médicale.",a
7,OIC-005-09-A,Quelle est la définition correcte de l'affection iatrogène?,"La question évalue la compréhension de la définition de l'affection iatrogène, en la distinguant de l'accident médical et de l'erreur médicale.","Un effet néfaste provoqué par un traitement ou un acte médical, distinct des symptômes initialement visés.",Cette définition correspond à la description donnée dans le texte source pour une affection iatrogène.,"Un événement indésirable survenu lors d'un acte de soin, entraînant un dommage anormal.","Cette définition correspond à celle de l'accident médical, telle que définie dans le texte source.",Un dommage résultant d'une erreur commise par un professionnel de santé.,"Cette définition est trop restrictive. Une affection iatrogène peut survenir même sans erreur du professionnel de santé, contrairement à une erreur médicale qui implique une faute.",Un événement imprévisible résultant de soins conformes aux bonnes pratiques.,"Cette définition correspond à celle de l'aléa thérapeutique, un sous-ensemble des accidents médicaux, et non de l'affection iatrogène.",a
8,OIC-005-10-A,Quelle est la définition d'une infection nosocomiale?,"La question évalue la connaissance de la définition précise d'une infection nosocomiale, conformément à l'objectif de Rang A spécifié.","Une infection contractée pendant un séjour dans un établissement de santé, absente à l'admission.","Cette définition correspond à la définition standard d'une infection nosocomiale, également appelée infection associée aux soins. Elle est contractée dans l'établissement et n'était pas présente à l'admission.",Une infection contractée avant l'admission dans un établissement de santé.,Cette définition est incorrecte. Une infection présente à l'admission n'est pas considérée comme nosocomiale.,"Une infection contractée dans la communauté, avant l'admission dans un établissement de santé.",Cette définition est incorrecte. Les infections communautaires sont contractées en dehors des établissements de santé.,Une infection qui apparaît plus de 72 heures après l'admission dans un établissement de santé.,"Cette définition est incorrecte. Le délai généralement utilisé pour considérer une infection comme nosocomiale est de 48 heures après l'admission, sauf si l'état infectieux à l'admission est inconnu.",a
9,OIC-005-11-A,Quelle est la définition de l'aléa thérapeutique?,"La question évalue la compréhension de la définition de l'aléa thérapeutique, en le distinguant des erreurs médicales et en précisant son lien avec les risques inhérents aux soins.","Un événement indésirable résultant d'une action de soins conforme, sans erreur, lié à un risque inhérent à l'acte médical.","Cette définition correspond précisément à la description de l'aléa thérapeutique fournie dans le contenu source. Il s'agit d'un événement imprévu lié aux soins, mais qui survient sans faute.","Une erreur médicale commise par un professionnel de santé, entraînant un dommage au patient.","Cette définition correspond à une erreur médicale, qui est distincte de l'aléa thérapeutique. L'aléa thérapeutique se produit *sans* faute.",Un dommage causé intentionnellement à un patient par un professionnel de santé.,"Cette définition correspondrait à une faute intentionnelle, voire un acte criminel, et non à l'aléa thérapeutique, qui est un événement imprévu lié aux risques des soins.","Une infection contractée par un patient dans un établissement de santé, toujours imputable à une faute de l'établissement.","Bien qu'une infection nosocomiale puisse être un type d'aléa thérapeutique (si elle survient sans faute), cette définition est trop restrictive et incorrecte car elle implique systématiquement une faute, ce qui contredit la définition de l'aléa thérapeutique.",a
