,id,question,question_comment,option_a,option_a_comment,option_b,option_b_comment,option_c,option_c_comment,option_d,option_d_comment,correct_option
0,OIC-247-09-B,Lequel des éléments suivants est une caractéristique du diabète de type 2?,Cette question évalue la compréhension de la physiopathologie du diabète de type 2. Le piège courant est de confondre les deux types de diabète.,Déficit absolu d'insuline,"C'est une caractéristique du diabète de type 1, pas du type 2.",Insulinorésistance,L'insulinorésistance est une caractéristique clé du diabète de type 2.,Destruction des cellules bêta pancréatiques,C'est une caractéristique du diabète de type 1.,Absence de production d'insuline,"C'est une caractéristique du diabète de type 1, pas du type 2.",b
1,OIC-247-10-B,Quels sont les facteurs de risque de survenue de plaies de pied chez les patients atteints de diabète ?,Cette question évalue la compréhension des facteurs de risque spécifiques aux plaies de pied chez les patients diabétiques.,"AOMI, neuropathie avec troubles de la statique/déformations du pied, antécédents d’ulcération, précarité sociale",Cette option liste correctement les facteurs de risque mentionnés dans le texte.,"Neuropathie sensitive isolée, artériopathie ou déformations des pieds/orteils","Cette option décrit les critères de gradation du pied diabétique, pas les facteurs de risque de plaies.","Antécédents d’ulcération, artériopathie, âge avancé",L’âge avancé n’est pas spécifiquement mentionné comme facteur de risque de plaies de pied dans le texte.,"Diabète de type 1, diabète de type 2, hypertension artérielle","Bien que le diabète soit la cause principale, les autres options ne sont pas spécifiquement des facteurs de risque de plaies de pied.",a
2,OIC-247-11-B,Quelle est la fréquence de surveillance recommandée pour une rétinopathie diabétique non proliférante modérée?,Cette question évalue la compréhension des différentes étapes de la rétinopathie diabétique et des protocoles de surveillance associés.,Annuel,Correct. La surveillance annuelle est recommandée pour la RDNP modérée.,1-2 ans,Incorrect. Cette fréquence est applicable à la RDNP minime.,3-4 mois,Incorrect. Cette fréquence est applicable à la RDNP sévère (préproliférante).,Chaque mois,Incorrect. La fréquence de surveillance est moins fréquente pour la RDNP modérée.,a
3,OIC-247-12-B,Quel est le stade de la néphropathie diabétique caractérisé par une hypertrophie rénale et une hyperfiltration glomérulaire?,Cette question évalue la compréhension des différents stades de la néphropathie diabétique. Le piège courant est de confondre les stades 1 et 2.,Stade 1,Correct. Le stade 1 est défini par l'hypertrophie rénale et l'hyperfiltration glomérulaire.,Stade 2,Incorrect. Le stade 2 est une phase silencieuse sans signes cliniques significatifs.,Stade 3,Incorrect. Le stade 3 est caractérisé par une microalbuminurie.,Stade 4,Incorrect. Le stade 4 est marqué par une protéinurie et une baisse de la filtration glomérulaire.,a
4,OIC-247-13-B,Quel est le critère diagnostique principal de la neuropathie sensorimotrice diabétique?,Cette question évalue la compréhension des critères diagnostiques de la neuropathie sensorimotrice diabétique. Le piège courant est de choisir un symptôme plutôt qu'un test.,Test au monofilament anormal,"Le test au monofilament est un outil standard pour détecter la diminution de la sensibilité tactile, un signe clé de la neuropathie sensorimotrice.",Douleurs abdominales aggravées la nuits,"Ce symptôme est plus caractéristique de la polyradiculopathie thoracique, une autre forme de neuropathie diabétique.",Hypotension orthostatique,"L'hypotension orthostatique est un symptôme de la neuropathie autonome, pas de la neuropathie sensorimotrice.",Déformation de la voute plantaire,"Bien que la déformation de la voute plantaire puisse être présente, ce n'est pas un critère diagnostique spécifique de la neuropathie sensorimotrice.",a
5,OIC-247-14-B,Quel examen est systématiquement recommandé pour l'évaluation de l'atteinte carotidienne chez les patients diabétiques?,Cette question évalue la compréhension des recommandations diagnostiques pour les complications macrovasculaires du diabète. Le piège courant est de penser que l'échographie-doppler est systématique pour tous les patients diabétiques.,Échographie-doppler des carotides,C'est la réponse correcte. L'échographie-doppler des carotides est recommandée en cas de symptomatologie évocatrice d'AIT ou systématiquement tous les 2 à 5 ans si le risque cardiovasculaire est élevé.,ECG de repos annuel,"L'ECG de repos est recommandé pour l'évaluation de la coronaropathie, pas de l'atteinte carotidienne.",Test d'effort,"Le test d'effort est utilisé pour détecter l'ischémie myocardique, pas l'atteinte carotidienne.",Scintigraphie myocardique,"La scintigraphie myocardique est utilisée pour détecter l'ischémie myocardique, pas l'atteinte carotidienne.",a
6,OIC-247-15-A,Quel facteur de risque cardiovasculaire est considéré comme non modifiable?,Cette question évalue la compréhension des facteurs de risque cardiovasculaires modifiables et non modifiables.,Tabac,Le tabagisme est un facteur de risque modifiable.,Age,L'âge est un facteur de risque non modifiable.,Hypercholestérolémie (LDL),L'hypercholestérolémie est un facteur de risque modifiable.,Diabète,Le diabète est un facteur de risque modifiable.,b
7,OIC-247-18-A,Quelle est la complication diabétique la plus fréquente responsable de décès chez l'enfant diabétique de type 1 ?,Cette question évalue la compréhension des complications du diabète chez les enfants. Le piège courant est de penser à l'hypoglycémie comme étant la complication la plus grave.,Acidocétose,C'est la bonne réponse. L'acidocétose est une complication grave et potentiellement mortelle du diabète de type 1.,Hypoglycémie,"L'hypoglycémie est une complication fréquente, mais moins mortelle que l'acidocétose si elle est traitée rapidement.",Coma hyperosmolaire,"Le coma hyperosmolaire est une complication grave, mais moins fréquente que l'acidocétose.",Insuffisance rénale,"L'insuffisance rénale est une complication à long terme du diabète, mais pas la plus fréquente en cas de décès.",a
8,OIC-247-19-A,"En cas d'hyperglycémie, quel examen est réalisé en urgence pour évaluer la présence de cétones dans le sang?",Cette question évalue la compréhension des examens d'urgence en cas d'hyperglycémie. Le piège courant est de choisir un examen étiologique.,Cétonémie capillaire,C'est l'examen d'urgence réalisé pour évaluer la présence de cétones dans le sang.,Ionogramme sanguin,"L'ionogramme sanguin est réalisé pour évaluer l'équilibre électrolytique, mais pas spécifiquement pour la présence de cétones.",ECG,L'ECG est un examen étiologique pour rechercher des complications cardiaques.,Recherche clinique de foyer infectieux,La recherche de foyer infectieux est un examen étiologique pour identifier la cause de l'hyperglycémie.,a
9,OIC-247-20-A,Quel est l'objectif principal de l'insulinothérapie intensifiée chez les patients atteints de diabète de type 1 ?,Cette question évalue la compréhension de la prise en charge du diabète de type 1. Attention aux distracteurs qui mentionnent des aspects importants du traitement mais ne sont pas l'objectif principal.,Réduire l'hémoglobine glyquée et prévenir les complications.,C'est l'objectif principal de l'insulinothérapie intensifiée.,Autonomiser le patient dans l'autogestion de sa maladie.,"L'éducation thérapeutique est importante, mais pas l'objectif principal de l'insulinothérapie.",Augmenter la qualité de vie du patient.,"Bien que l'insulinothérapie puisse améliorer la qualité de vie, ce n'est pas son objectif principal.",Éliminer complètement les risques d'hypoglycémie.,"L'insulinothérapie intensifiée augmente le risque d'hypoglycémie, même si elle est gérée.",a
