Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
0,OIC-005-01-A,Quelles sont les deux principales fins pour lesquelles la responsabilité d'un professionnel de santé ou d'un établissement de santé peut être recherchée?,Sanction et indemnisation,Pénalisation et discipline,Indemnisation et discipline,Sanction et pénalisation,a,4
1,OIC-005-01-A-,Quelle est la fonction principale de la responsabilité pénale?,Sanctionner les individus dont le comportement est réprouvé dans notre société.,Protéger les patients contre les erreurs médicales.,Assurer la sécurité des établissements de santé.,Encourager la recherche biomédicale.,a,1
2,OIC-005-02-A,"Selon le texte, quel est le type de juridiction devant laquelle les professionnels exerçant à titre libéral engagent leur responsabilité civile?",Tribunal de proximité,Tribunal de grande instance,Cour d’appel,Cour de cassation,b,1
3,OIC-005-02-A-,"Selon le texte, quelle est la conséquence principale de la responsabilité administrative d'un médecin hospitalier?",Une condamnation pénale.,Une action en justice devant le Conseil d'État.,Une action en justice devant le tribunal administratif.,Une action en justice devant la cour administrative d'appel.,c,4
4,OIC-005-03-A,Quelle est la principale différence entre le Code de déontologie médicale et le Code pénal?,"Le Code de déontologie médicale énonce des principes généraux, tandis que le Code pénal liste des comportements prohibés par la société.","Le Code de déontologie médicale est élaboré par le Conseil national de l'Ordre, tandis que le Code pénal est élaboré par le Conseil d'État.",Le Code de déontologie médicale est plus strict que le Code pénal.,Le Code de déontologie médicale est uniquement applicable aux médecins inscrits au tableau de l'Ordre des médecins.,a,4
5,OIC-005-03-A-,Qu'est-ce que la responsabilité sans faute?,Une responsabilité engagée uniquement en cas de faute prouvée.,Une responsabilité engagée en cas de manquement aux règles professionnelles ou scientifiques.,Une responsabilité engagée en cas de dommage lié aux soins survenu sans manquement aux règles professionnelles ou scientifiques.,Une responsabilité engagée uniquement en cas d'erreur.,c,4
6,OIC-005-04-A,"Selon le texte, quel est le principal élément que le patient doit prouver pour engager la responsabilité d'un médecin?",La présence d'une atteinte à son droit à la protection de la santé.,La faute du médecin.,L'atteinte à l'un de ses droits.,L'existence d'un acte de prévention ou de soins.,b,4
7,OIC-005-04-A-,Qu'est-ce qu'une erreur par omission?,Une action qui a été faite mais qui n'était pas utile.,Une action mal réalisée.,Une action nécessaire qui n'a pas été faite.,Un non-respect d'une recommandation ou d'une règle professionnelle.,c,4
8,OIC-005-05-A,Qu'est-ce qui définit un accident médical?,Un événement souhaitable qui améliore la santé.,Un événement indésirable survenu au cours d'un acte de soin.,Un événement qui ne nécessite aucune intervention médicale.,Un événement qui se produit uniquement dans les établissements de santé.,b,4
9,OIC-005-05-A-,Qu'est-ce qu'une infection nosocomiale?,Une infection présente au moment de l'admission.,Une infection absente au moment de l'admission.,Une infection contractée pendant un séjour dans un établissement de santé.,Une infection qui apparaît avant 48 heures d'hospitalisation.,c,4
10,OIC-005-06-A,"Selon le texte, quelle est la principale caractéristique qui distingue l'aléa thérapeutique des erreurs?",L'aléa thérapeutique est toujours causé par une faute professionnelle.,L'aléa thérapeutique est toujours évitable.,L'aléa thérapeutique est inévitable.,L'aléa thérapeutique est toujours lié à une infection.,c,4
11,OIC-005-06-A-,Quel facteur est le plus susceptible d'ouvrir un contentieux suite à un accident médical?,L'état de santé du patient,La gravité des maladies associées,La communication au sein de l'équipe,La disponibilité de ressources humaines qualifiées,c,4
12,OIC-005-07-A,Qu'est-ce qui est un facteur humain qui peut conduire à des erreurs?,Une excellente mémoire,Un stress élevé,Une connaissance approfondie de tous les sujets,Une communication parfaite,b,4
13,OIC-005-07-A-,Quel est le principal objectif de l'analyse des erreurs et des plaintes dans le contexte médical?,Identifier les erreurs individuelles et sanctionner les responsables.,Comprendre les causes profondes des événements indésirables et mettre en place des actions d'amélioration.,"Minimiser les risques liés aux soins, en se concentrant sur les aspects matériels.","Ignorer les erreurs et les plaintes, car elles sont souvent dues à des facteurs personnels.",b,4
14,OIC-005-08-A,Qu'est-ce qui est essentiel pour la confiance dans le système de gestion des risques associés aux soins?,La culpabilisation des soignants,L'objectivité et le respect de l'anonymat,Le signalement obligatoire des erreurs,La non-analyse des erreurs,b,4
15,OIC-005-08-A-,"Selon le texte, quel est l'un des principaux objectifs du travail en équipe pluriprofessionnelle?",Réduire les coûts de santé.,Améliorer la satisfaction des patients.,Assurer une prise en charge de qualité du patient.,Augmenter le nombre de professionnels de santé.,c,4
16,OIC-005-09-A,Qu'est-ce qu'un protocole pluriprofessionnel?,Une réunion informelle entre les professionnels de santé.,Un ensemble de règles et de procédures standardisées pour une intervention.,Un document décrivant les responsabilités de chaque professionnel.,Une méthode de communication entre les patients et les médecins.,b,4
